Provider,PotentialFraud,TotalClaimAmtReimbursed,TotalDeductibleAmtPaid,TotalIPAnnualReimbursementAmt,TotalOPAnnualReimbursementAmt,NumClaims,NumUniqueBeneficiaries,AvgClaimDuration,NumUniqueDiagnosisCodes,NumUniqueProcedureCodes,TotalClaimAmtReimbursed_winsor,TotalDeductibleAmtPaid_winsor,TotalIPAnnualReimbursementAmt_winsor,TotalOPAnnualReimbursementAmt_winsor,avg_claim_amt_per_claim,avg_claim_amt_per_beneficiary,beneficiaries_per_claim,ip_op_ratio,high_total_claim_flag,claims_per_day,diag_per_claim,proc_per_claim,TotalClaimAmtReimbursed_log1p,TotalIPAnnualReimbursementAmt_log1p,TotalOPAnnualReimbursementAmt_log1p,NumClaims_log1p,NumUniqueBeneficiaries_log1p,avg_claim_amt_per_claim_log1p,avg_claim_amt_per_beneficiary_log1p,claims_x_avgclaim,many_procs_flag,max_log1p_zscore
PRV51001,0,104640,5340.0,440150,65380,25,24,1.44,72,3,104640.0,5340.0,440150.0,65380.0,4185.6,4360.0,0.96,6.732181095136127,0,17.36111111111111,2.88,0.12,11.558290723220285,12.994873128839215,11.08798697535854,3.258096538021482,3.2188758248682006,8.33964422766042,8.380456667842767,104640.00000000001,0,1.3768106143913206
PRV51003,1,605670,66286.0,999000,353520,132,117,3.674242424242424,365,39,605670.0,66286.0,999000.0,353520.0,4588.409090909091,5176.666666666667,0.8863636363636364,2.825865580448065,1,35.92577319587629,2.765151515151515,0.29545454545454547,13.314092213335128,13.81451105863119,12.775698168494895,4.890349128221754,4.770684624465665,8.431506556403065,8.552109783319798,605670.0,1,1.571531074205132
PRV51004,0,52170,310.0,648430,327040,149,138,1.429530201342282,267,0,52170.0,310.0,648430.0,327040.0,350.13422818791946,378.04347826086956,0.9261744966442953,1.9827238258317026,0,104.2300469483568,1.7919463087248322,0.0,10.862282063937007,13.382310877694628,12.697840824282688,5.0106352940962555,4.9344739331306915,5.861168566853116,5.937650916869188,52170.0,0,1.2190197684788358
PRV51005,1,280910,3700.0,4221950,2457840,1165,495,1.088412017167382,1294,0,280910.0,3700.0,4221950.0,2457840.0,241.1244635193133,567.4949494949495,0.4248927038626609,1.7177481040262994,0,1070.3667192429023,1.1107296137339056,0.0,12.545793172168969,15.25580790144906,14.714793880278656,7.061334366910438,6.206575926724928,5.489451906006846,6.342992429237231,280910.0,0,2.37945940437498
PRV51007,0,33710,3264.0,219600,124540,72,58,0.9583333333333334,165,1,33710.0,3264.0,219600.0,124540.0,468.19444444444446,581.2068965517242,0.8055555555555556,1.7632889031636423,0,75.13043478260869,2.2916666666666665,0.013888888888888888,10.425579472576013,12.299567542341206,11.732390257942946,4.290459441148391,4.07753744390572,6.151017276224235,6.366825876915915,33710.0,0,0.598114214435297
PRV51008,0,35630,2316.0,283460,110530,43,36,1.5348837209302326,98,2,35630.0,2316.0,283460.0,110530.0,828.6046511627907,989.7222222222222,0.8372093023255814,2.56455261015109,0,28.015151515151516,2.2790697674418605,0.046511627906976744,10.48097132444235,12.55482982654929,11.613051303581544,3.784189633918261,3.6109179126442243,6.720949263412126,6.898434194556349,35630.0,0,0.38522827925761205
PRV51011,0,16630,1368.0,256060,81160,58,53,0.5517241379310345,120,0,16630.0,1368.0,256060.0,81160.0,286.7241379310345,313.77358490566036,0.9137931034482759,3.1550024642681125,0,105.125,2.0689655172413794,0.0,9.71902370267014,12.45317097632723,11.304190115204406,4.07753744390572,3.9889840465642745,5.662002166694134,5.751853602303552,16630.0,0,0.5462385504647973
PRV51012,0,16890,100.0,332900,182110,48,31,3.7083333333333335,105,0,16890.0,100.0,332900.0,182110.0,351.875,544.8387096774194,0.6458333333333334,1.8280160342650047,0,12.9438202247191,2.1875,0.0,9.734536214680345,12.71560042746368,12.112371670261433,3.8918202981106265,3.4657359027997265,5.866113886573653,6.30232352858348,16890.0,0,0.6191195355206186
PRV51013,0,14880,230.0,167240,148420,46,44,1.4565217391304348,103,0,14880.0,230.0,167240.0,148420.0,323.4782608695652,338.1818181818182,0.9565217391304348,1.1268023177469344,0,31.582089552238806,2.239130434782609,0.0,9.60784051043005,12.027191164883384,11.907808109137864,3.8501476017100584,3.8066624897703196,5.782218541202238,5.826536300422787,14879.999999999998,0,0.5127176160237407
PRV51014,0,10480,120.0,83590,52270,30,25,0.4666666666666667,93,0,10480.0,120.0,83590.0,52270.0,349.3333333333333,419.2,0.8333333333333334,1.5991964798163383,0,64.28571428571428,3.1,0.0,9.257319373170178,11.333691137775132,10.864197002956908,3.4339872044851463,3.258096538021482,5.858885082208841,6.0407307884109,10480.0,0,0.3475942306351595
