Provider,PotentialFraud,TotalClaimAmtReimbursed_log1p,NumClaims_log1p,NumUniqueBeneficiaries_log1p,TotalIPAnnualReimbursementAmt_log1p,TotalOPAnnualReimbursementAmt_log1p,avg_claim_amt_per_claim_log1p,avg_claim_amt_per_beneficiary_log1p,ip_op_ratio,claims_per_day,diag_per_claim,proc_per_claim,NumUniqueDiagnosisCodes,NumUniqueProcedureCodes,claims_x_avgclaim,many_procs_flag,high_total_claim_flag
PRV51001,0,11.558290723220283,3.258096538021482,3.218875824868201,12.994873128839217,11.08798697535854,8.33964422766042,8.380456667842767,6.732181095136127,17.36111111111111,2.88,0.12,72,3,104640.0,0,0
PRV51003,1,13.314092213335128,4.890349128221754,4.770684624465665,13.81451105863119,12.775698168494896,8.431506556403065,8.552109783319798,2.825865580448065,35.92577319587629,2.765151515151515,0.2954545454545454,365,39,605670.0,1,1
PRV51004,0,10.862282063937007,5.0106352940962555,4.9344739331306915,13.382310877694628,12.697840824282688,5.861168566853116,5.937650916869188,1.9827238258317024,104.2300469483568,1.7919463087248322,0.0,267,0,52170.0,0,0
PRV51005,1,12.545793172168969,7.061334366910438,6.206575926724928,15.25580790144906,14.714793880278656,5.489451906006846,6.342992429237231,1.7177481040262994,1070.3667192429025,1.1107296137339056,0.0,1294,0,280910.0,0,0
PRV51007,0,10.425579472576011,4.290459441148391,4.07753744390572,12.299567542341206,11.732390257942946,6.151017276224235,6.366825876915915,1.7632889031636425,75.13043478260869,2.2916666666666665,0.0138888888888888,165,1,33710.0,0,0
PRV51008,0,10.48097132444235,3.784189633918261,3.610917912644224,12.55482982654929,11.613051303581544,6.720949263412126,6.898434194556349,2.56455261015109,28.015151515151516,2.2790697674418605,0.0465116279069767,98,2,35630.0,0,0
PRV51011,0,9.71902370267014,4.07753744390572,3.9889840465642745,12.45317097632723,11.304190115204406,5.662002166694134,5.751853602303552,3.1550024642681125,105.125,2.068965517241379,0.0,120,0,16630.0,0,0
PRV51012,0,9.734536214680343,3.8918202981106265,3.4657359027997265,12.71560042746368,12.112371670261432,5.866113886573653,6.30232352858348,1.8280160342650047,12.9438202247191,2.1875,0.0,105,0,16890.0,0,0
PRV51013,0,9.60784051043005,3.8501476017100584,3.80666248977032,12.027191164883384,11.907808109137864,5.782218541202238,5.826536300422787,1.1268023177469344,31.58208955223881,2.239130434782609,0.0,103,0,14879.999999999998,0,0
PRV51014,0,9.257319373170178,3.4339872044851463,3.258096538021482,11.333691137775132,10.864197002956908,5.858885082208841,6.0407307884109,1.5991964798163385,64.28571428571428,3.1,0.0,93,0,10480.0,0,0
PRV51015,0,6.55250788703459,2.1972245773362196,2.0794415416798357,9.158099260130491,9.35539264367532,4.483002552013883,4.61512051684126,0.8209342560553633,21.333333333333332,2.75,0.0,22,0,700.0,0,0
PRV51016,0,5.14166355650266,1.9459101490553132,1.9459101490553132,0.0,8.569975376855206,3.378724525810097,3.378724525810097,0.0,18.0,3.5,0.0,21,0,170.0,0,0
PRV51017,0,11.868646954515746,6.246106765481563,6.042632833682381,14.352706021135388,14.015230710894889,5.628075016388676,5.831323740015175,1.4014053363471082,379.4349070100143,1.4038834951456312,0.003883495145631,723,2,142720.0,0,0
PRV51021,1,12.7623428432145,5.552959584921617,5.342334251964811,14.04340361251041,13.44826710642621,7.2140003688909555,7.425397998077464,1.8132796257796255,128.5,2.0233463035019454,0.0700389105058365,520,18,348830.0,1,0
PRV51023,0,11.0914986438018,3.610917912644224,3.58351893845611,12.162804954397265,11.397750275924013,7.508513010248735,7.536668653878797,2.149124775583483,9.818181818181818,3.611111111111111,0.1388888888888889,130,5,65610.0,0,0
PRV51024,0,11.0674349200055,3.688879454113936,3.6635616461296463,12.090106084085123,11.250924134634175,7.404466375188698,7.430426258168567,2.3144899285250164,23.765625,2.871794871794872,0.1794871794871795,112,7,64050.0,0,0
PRV51025,0,11.681410064420586,4.477336814478207,4.343805421853684,12.947178692446297,12.201768395522317,7.216228333959504,7.351310231632942,2.1073114391885106,40.04761904761904,2.5517241379310347,0.1264367816091954,222,11,118350.0,0,0
PRV51026,0,9.895505782794473,4.343805421853684,4.04305126783455,12.617523138763014,11.832694694078103,5.568545367475743,5.872922294748092,2.192039511911679,69.59036144578313,1.868421052631579,0.0,142,0,19839.999999999996,0,0
PRV51027,0,10.303638565820524,3.9889840465642745,3.80666248977032,12.707608250389072,12.149084217241862,6.335087704705388,6.52088886517743,1.748094431505399,24.858407079646017,2.0,0.0,106,0,29840.0,0,0
PRV51029,0,10.330746767679962,4.543294782270004,4.382026634673881,12.788179320901117,11.94776165543629,5.801143336298256,5.963839633192065,2.3173431734317345,133.06153846153845,2.172043010752688,0.0,202,0,30660.0,0,0
PRV51030,0,13.514082440040376,5.147494476813453,4.983606621708336,14.058080979712386,12.965384368288635,8.372648661087029,8.53754333614019,2.9823099962560837,53.45703839122486,2.719298245614035,0.2807017543859649,465,48,739760.0,1,1
PRV51031,0,12.793084009964542,5.225746673713202,5.062595033026967,13.94336800918424,12.752982337548904,7.573239561640279,7.737271780035964,3.2883558076277564,92.5,2.075675675675676,0.1243243243243243,384,23,359720.0,1,0
PRV51032,0,8.598035579260339,3.1780538303479458,3.091042453358316,12.145690806739555,10.38161434933888,5.466591442505051,5.557195708762502,5.836329820210787,25.19047619047619,2.0434782608695654,0.0,47,0,5420.0,0,0
PRV51035,0,10.390870532175567,3.4339872044851463,3.258096538021482,11.591376136796182,10.595659257474392,6.990563390169452,7.17273151389828,2.7067067067067065,13.23529411764706,1.9666666666666663,0.0333333333333333,59,1,32559.999999999996,0,0
PRV51036,0,11.223655465763157,5.631211781821365,4.882801922586371,14.267796272888912,13.263204736999052,5.599726729583832,6.3501927252294585,2.7307946214516523,264.6712328767124,1.6654676258992809,0.0,463,0,74880.0,0,0
PRV51037,1,12.743241226635249,6.12029741895095,5.332718793265369,14.40962217809858,13.793194394380796,6.626466820666067,7.415963889120217,1.852300266890268,296.14367816091954,1.5198237885462555,0.026431718061674,690,12,342230.0,0,0
PRV51038,0,12.489336220784486,4.955827057601261,4.68213122712422,13.458179684665192,12.640937967253592,7.541103516262834,7.816906566877996,2.264249878621136,79.20717131474103,2.2907801418439715,0.0992907801418439,323,14,265490.0,1,0
PRV51040,0,11.218165066840664,4.465908118654584,4.248495242049359,13.4314365207898,12.251241976674043,6.764958503598186,6.984971252730223,3.2550181609634867,51.72027972027971,2.395348837209302,0.0813953488372093,206,7,74470.0,0,0
PRV51041,0,8.910720661951359,3.5553480614894135,3.4657359027997265,10.75152085670396,11.261652464402612,5.38880309314598,5.480773322912115,0.6004114168166624,14.45,2.235294117647059,0.0,76,0,7410.0,0,0
PRV51042,0,10.780018225836406,4.962844630259907,4.859812404361672,13.430422911903133,12.73505542590062,5.827121253558305,5.930627500387224,2.0044485034173936,115.22285714285717,1.816901408450704,0.0,258,0,48050.0,0,0
PRV51043,0,8.407601514786142,3.1780538303479458,3.044522437723423,11.186516424119828,10.516535773840449,5.277004904372422,5.41610040220442,1.954225352112676,0.0,1.826086956521739,0.0,42,0,4480.0,0,0
PRV51044,0,9.967916692691816,4.0943445622221,3.688879454113936,12.272239527668065,12.004329708756044,5.893094606259739,6.306134906516817,1.3072311268811942,27.409448818897637,2.0,0.0,118,0,21330.0,0,0
PRV51045,0,9.03491498187007,3.4657359027997265,3.4011973816621555,11.686803138981452,11.021265010465248,5.604496660544846,5.67095050535119,1.945552648790059,13.728571428571428,2.2903225806451615,0.0,71,0,8390.0,0,0
