Provider,PotentialFraud,TotalClaimAmtReimbursed,TotalDeductibleAmtPaid,TotalIPAnnualReimbursementAmt,TotalOPAnnualReimbursementAmt,NumClaims,NumUniqueBeneficiaries,AvgClaimDuration,NumUniqueDiagnosisCodes,NumUniqueProcedureCodes
PRV51001,0,104640,5340.0,440150,65380,25,24,1.44,72,3
PRV51003,1,605670,66286.0,999000,353520,132,117,3.6742424242424243,365,39
PRV51004,0,52170,310.0,648430,327040,149,138,1.429530201342282,267,0
PRV51005,1,280910,3700.0,4221950,2457840,1165,495,1.088412017167382,1294,0
PRV51007,0,33710,3264.0,219600,124540,72,58,0.9583333333333334,165,1
PRV51008,0,35630,2316.0,283460,110530,43,36,1.5348837209302326,98,2
PRV51011,0,16630,1368.0,256060,81160,58,53,0.5517241379310345,120,0
PRV51012,0,16890,100.0,332900,182110,48,31,3.7083333333333335,105,0
PRV51013,0,14880,230.0,167240,148420,46,44,1.4565217391304348,103,0
PRV51014,0,10480,120.0,83590,52270,30,25,0.4666666666666667,93,0
PRV51015,0,700,0.0,9490,11560,8,7,0.375,22,0
PRV51016,0,170,0.0,0,5270,6,6,0.3333333333333333,21,0
PRV51017,0,142720,1050.0,1711200,1221060,515,420,1.3572815533980582,723,2
PRV51021,1,348830,31492.0,1255950,692640,257,208,2.0,520,18
PRV51023,0,65610,8624.0,191530,89120,36,35,3.6666666666666665,130,5
PRV51024,0,64050,9702.0,178100,76950,39,38,1.641025641025641,112,7
PRV51025,0,118350,14284.0,419650,199140,87,76,2.1724137931034484,222,11
PRV51026,0,19840,340.0,301800,137680,76,56,1.0921052631578947,142,0
PRV51027,0,29840,0.0,330250,188920,53,44,2.1320754716981134,106,0
PRV51029,0,30660,160.0,357960,154470,93,79,0.6989247311827957,202,0
PRV51030,0,739760,86748.0,1274520,427360,171,145,3.198830409356725,465,48
PRV51031,0,359720,30244.0,1136390,345580,185,157,2.0,384,23
PRV51032,0,5420,50.0,188280,32260,23,21,0.9130434782608695,47,0
PRV51035,0,32560,1428.0,108160,39960,30,25,2.2666666666666666,59,1
PRV51036,0,74880,1410.0,1571900,575620,278,131,1.0503597122302157,463,0
PRV51037,1,342230,25524.0,1811420,977930,454,206,1.5330396475770924,690,12
PRV51038,0,265490,31192.0,699540,308950,141,107,1.7801418439716312,323,14
PRV51040,0,74470,8784.0,681080,209240,86,69,1.6627906976744187,206,7
PRV51041,0,7410,270.0,46700,77780,34,31,2.3529411764705883,76,0
PRV51042,0,48050,310.0,680390,339440,142,128,1.232394366197183,258,0
PRV51043,0,4480,0.0,72150,36920,23,20,0.0,42,0
PRV51044,0,21330,130.0,213680,163460,59,39,2.152542372881356,118,0
PRV51045,0,8390,40.0,118990,61160,31,29,2.2580645161290325,71,0
PRV51046,0,109370,8644.0,223660,81950,38,26,1.631578947368421,111,5
PRV51047,0,2530,0.0,45170,18290,11,11,3.090909090909091,22,0
PRV51048,0,27700,4352.0,160500,81490,38,33,0.6052631578947368,97,3
PRV51049,0,21720,190.0,167820,229400,71,65,1.7887323943661972,147,0
PRV51052,1,30800,2346.0,135260,97830,46,37,2.282608695652174,116,1
PRV51053,0,8000,1068.0,8000,90,1,1,5.0,9,1
PRV51054,0,15130,140.0,142200,139990,57,40,2.3508771929824563,124,0
PRV51055,0,21640,2206.0,113570,29570,22,22,0.5909090909090909,72,2
PRV51056,0,14700,2146.0,147610,78330,22,21,0.7272727272727273,61,2
PRV51057,0,6830,0.0,60000,15690,5,4,0.0,20,0
PRV51058,0,107030,5540.0,450710,178960,83,75,1.3012048192771084,200,5
PRV51059,1,421060,26940.0,1149970,210440,96,82,2.4791666666666665,266,22
PRV51060,0,43710,5340.0,158940,61470,42,42,2.3095238095238093,116,0
PRV51061,0,54940,1328.0,588700,478990,145,67,2.393103448275862,260,2
PRV51062,0,153380,3944.0,2807780,1039960,397,166,1.5969773299748111,634,5
PRV51063,0,51110,160.0,628630,447060,149,115,1.610738255033557,286,0
PRV51064,1,360320,38948.0,1459470,829960,303,227,1.9504950495049505,573,20
PRV51065,0,76570,9722.0,158290,49120,28,26,2.9285714285714284,108,9
PRV51066,0,24790,2236.0,120000,27600,24,21,1.0833333333333333,70,2
PRV51067,1,334520,13096.0,702320,110760,58,49,2.310344827586207,173,11
PRV51068,0,143260,8984.0,736650,497970,261,214,1.3754789272030652,495,3
PRV51070,0,125410,10980.0,547600,291560,99,69,1.9090909090909092,222,6
PRV51071,0,8550,50.0,100700,54700,24,24,2.0833333333333335,55,0
PRV51072,0,119170,12178.0,896320,434520,212,160,1.5377358490566038,417,6
PRV51074,0,41170,5420.0,208600,76900,39,39,1.8974358974358974,114,1
PRV51075,0,8550,70.0,41650,49450,17,13,1.1764705882352942,38,0
PRV51076,0,10230,50.0,137290,61580,29,27,1.1724137931034482,67,0
PRV51077,1,204350,16220.0,301300,82650,33,30,4.181818181818182,127,8
PRV51078,0,78270,8644.0,112870,21910,23,23,2.652173913043478,91,8
PRV51081,0,124080,7168.0,949010,518980,200,131,1.62,395,8
PRV51082,0,5470,70.0,230080,179210,34,31,1.1764705882352942,69,0
PRV51083,0,18100,140.0,361430,188100,90,81,1.3777777777777778,183,0
PRV51084,1,215580,21890.0,557700,151580,110,85,1.6727272727272726,247,11
PRV51086,0,446170,33168.0,966650,323480,139,115,2.7985611510791366,356,24
PRV51089,0,230900,18696.0,1426550,461810,228,197,1.6929824561403508,452,16
PRV51090,0,5830,60.0,5000,19820,7,7,5.714285714285714,15,0
PRV51091,0,9270,80.0,327860,106880,44,44,0.9318181818181818,104,0
PRV51093,0,13710,2136.0,42200,8100,9,9,1.4444444444444444,32,2
PRV51096,0,3200,100.0,24000,16860,5,5,4.0,8,0
PRV51097,0,44420,230.0,412860,376180,125,71,1.744,247,0
PRV51098,0,300,0.0,62000,9190,4,4,0.0,13,0
PRV51100,0,78000,5340.0,78690,3710,5,5,6.0,41,4
PRV51101,0,16600,3204.0,27600,520,3,3,3.3333333333333335,22,1
PRV51102,0,148000,12816.0,178000,8870,12,11,4.0,88,10
PRV51103,1,440,60.0,8000,6830,6,4,0.0,8,0
PRV51104,0,1900,110.0,33000,22190,12,9,1.1666666666666667,28,0
PRV51105,0,6540,0.0,96580,51300,12,12,3.3333333333333335,28,0
PRV51108,0,156000,19224.0,255950,38840,19,19,5.2631578947368425,107,6
PRV51109,0,18000,3204.0,23500,3210,3,3,6.333333333333333,25,4
PRV51110,0,27000,5340.0,27280,5940,5,5,10.2,42,4
PRV51111,0,54860,200.0,381640,523000,132,85,2.462121212121212,278,0
PRV51112,0,105250,810.0,1296930,1064150,304,195,1.8453947368421053,465,0
PRV51113,0,46390,550.0,383680,412970,132,78,1.5454545454545454,255,1
PRV51114,0,76720,560.0,1022740,763690,262,160,1.1984732824427482,376,0
PRV51115,0,980,20.0,29000,10710,7,6,0.0,13,0
PRV51117,0,1950,0.0,69500,58290,12,10,1.75,28,0
PRV51118,0,136000,14952.0,346160,116100,16,16,4.25,106,14
PRV51119,1,1080580,96985.0,2238420,458190,95,81,6.042105263157895,357,51
PRV51120,0,52000,7476.0,93120,3290,7,7,4.142857142857143,51,5
PRV51121,0,81080,6408.0,116250,35490,7,7,5.571428571428571,41,5
PRV51122,0,1120,0.0,7040,27030,7,7,0.0,14,0
PRV51123,0,26910,2176.0,102070,146790,31,28,2.4838709677419355,88,1
PRV51125,0,131310,13096.0,312980,107250,48,32,2.4791666666666665,140,10
PRV51126,1,177000,21360.0,377400,121650,20,14,6.5,110,12
PRV51128,0,102220,5340.0,485040,100360,50,38,2.34,153,3
PRV51129,0,22920,480.0,426220,244510,96,65,1.3541666666666667,194,0
PRV51130,0,4970,0.0,20060,12570,7,7,2.857142857142857,19,0
PRV51131,0,1160,70.0,30020,7790,8,8,0.0,30,0
PRV51132,0,5330,1068.0,7000,9070,8,6,1.75,18,1
PRV51134,0,7610,80.0,32470,110310,15,12,2.6666666666666665,28,0
PRV51135,0,300,0.0,4000,1820,5,2,0.0,8,0
PRV51136,0,20000,1068.0,20000,400,1,1,2.0,9,2
PRV51137,0,16050,1348.0,235640,104310,55,51,0.2,129,1
PRV51138,0,13430,1068.0,188640,43480,26,21,1.5384615384615385,60,1
PRV51139,0,52580,7516.0,178210,122890,43,42,2.4651162790697674,115,1
PRV51140,0,453130,50418.0,2577460,1203530,487,394,2.1047227926078027,758,19
PRV51141,0,19490,170.0,323100,95650,71,37,1.732394366197183,160,0
PRV51142,0,104570,7536.0,321820,128930,51,38,1.9215686274509804,131,6
PRV51143,0,20450,350.0,349820,120800,77,68,0.987012987012987,160,0
PRV51144,0,61220,4492.0,122930,62780,30,29,1.8,83,3
PRV51145,1,1606350,166748.0,3261530,272860,202,161,4.900990099009901,549,80
PRV51146,1,1680910,171670.0,3316080,778590,352,334,3.4232954545454546,710,74
PRV51147,0,8860,210.0,124160,77790,32,32,2.5,76,0
PRV51148,1,488660,36294.0,1621790,843930,330,263,1.8484848484848484,599,26
